name,d,ridge_std,ridge_raw,sgd_std,sgd_std_lr,sgd_raw,sgd_raw_lr
mc2_g14_378,1664,0.8012782894484235,0.8014775497388257,0.761230743300611,0.5,0.7892286231459498,0.5
mc2_h14_378,1280,0.7778734394057992,0.7785453088806712,0.74319187311063,0.5,0.6860117840958319,0.5
mc2_l14_224,1024,0.7441072888129359,0.7441053764688913,0.7204085292168099,0.5,0.7055552980790698,0.5
mc2_m16_224,512,0.6559977673336053,0.6563569378159374,0.6467346646899613,0.5,0.6369823480106125,0.5
mc2_m16_224_mt5,512,0.6495379189006617,0.649869688031932,0.6330790622201516,0.5,0.6223771358467667,0.5
mc2_m16_384,512,0.6580806830350522,0.6584219897414179,0.650734869320093,0.5,0.6365523844037942,0.5
mc2_s16_224,384,0.6340769129965391,0.633971330436821,0.6211798979671607,0.5,0.6026388800218014,0.5
mc2_s16_224_mt5,384,0.6443517903237945,0.6425212198793714,0.6344288290341795,0.5,0.6203787431832609,0.5
mc2_s16_384,384,0.6503474114220247,0.6504000355147611,0.6333544218158617,0.5,0.6083020918829638,0.5
pe_core_b16_224,768,0.7262013696085746,0.7234870910880995,0.7039865882410187,0.5,0.6812405160194751,0.5
pe_core_g14_448,1536,0.8247924369551128,0.8243434839554618,0.80527980495257,0.5,0.7882240615577428,0.5
pe_core_l14_336,1024,0.8068955339706688,0.8066163544648908,0.7912570587918442,0.5,0.763577223813984,0.5
pe_core_s16_384,384,0.644544154113136,0.6441002216127286,0.6365434696565186,0.5,0.5909957833707427,0.5
pe_core_t16_384,192,0.5496305522064591,0.5495173909880324,0.542826851530342,0.5,0.48166390515846,0.5
pe_lang_g14_448,1536,0.8431374381568302,0.8422415554172604,0.8197307377798325,0.5,0.7316818403736242,0.5
pe_lang_g14_448_tiling,1536,0.8234289253274323,0.8195948689249883,0.7900276038775076,0.5,0.7235750749075833,0.5
pe_lang_l14_448,1024,0.8014212390398934,0.8020271626894787,0.7815525888396267,0.5,0.6167298979984296,0.5
pixio_vit1b16,1536,0.6954838581684016,0.694581592633132,0.6520944255192607,0.5,0.5561259938669176,0.5
pixio_vitb16,768,0.6659259494702601,0.6659467246546629,0.6452982650370283,0.5,0.5938988821276081,0.5
pixio_vith16,1280,0.6861076566614607,0.6868214372409872,0.6559239903734102,0.5,0.5413220488347997,0.5
pixio_vitl16,1024,0.6945526755429192,0.6941617126175177,0.6631421321501565,0.5,0.5143125929673739,0.5
raev2,1024,0.7648575395064416,0.7683900232381233,0.7489664606673326,0.5,0.7592891027109456,0.5
siglip2_b16_224,768,0.754596364852939,0.7538165128031313,0.736476912698867,0.5,0.7435648988211861,0.5
siglip2_b16_256,768,0.7617619328645906,0.7613936659083886,0.7427358437428696,0.5,0.7489029063563866,0.5
siglip2_b16_384,768,0.7722042576418754,0.7726138183946831,0.7492257459062508,0.5,0.7535460156711369,0.5
siglip2_b16_512,768,0.7755847987979962,0.7750680289356476,0.7509496463031328,0.5,0.7529423329908281,0.5
siglip2_b32_256,768,0.7223198841274431,0.7233765363847393,0.7051377955102837,0.5,0.7142330258931312,0.5
siglip2_g16_256,1536,0.8166290851548582,0.8158017808076555,0.7846798408408002,0.5,0.784578500224399,0.5
siglip2_g16_384,1536,0.821503596405412,0.8195850399882076,0.7915773768820872,0.5,0.7809786107445087,0.5
siglip2_l16_256,1024,0.8019965538644558,0.800421734008823,0.7850267275677881,0.5,0.7875061369366155,0.5
siglip2_l16_384,1024,0.8072166935720798,0.8106530519329886,0.7929440876921208,0.5,0.7921252107426335,0.5
siglip2_l16_512,1024,0.8087293922704399,0.8112920890911273,0.7931071079504822,0.5,0.7912392025790718,0.5
siglip2_sm14_224,1152,0.8053518796140151,0.8048891303475525,0.7857378093896374,0.5,0.7845083705138974,0.5
siglip2_sm14_384,1152,0.8117311915063795,0.8115149476293058,0.7931767171163239,0.5,0.782732578087314,0.5
