name,ridge_std_obj80,ridge_raw_obj80,sgd_std_obj80,sgd_raw_obj80,ridge_std_dom,ridge_raw_dom,sgd_std_dom,sgd_raw_dom
mc2_b32_224_mt5,0.6390981343360183,0.6410244597010689,0.6197861859749806,0.6195223238087632,0.7020989122312163,0.6981719912071463,0.653548358996884,0.653548227979196
mc2_b32_384,0.6506623275701631,0.6485944555398713,0.629182446609069,0.6187464838371919,0.6895687988781638,0.692404045897071,0.6481360391482246,0.6397536551885923
mc2_g14_224,0.7888183148804015,0.7887239520093755,0.7427832376565734,0.7801828682898666,0.8016929770624358,0.8011617802865508,0.7050847151869221,0.7576587884846476
mc2_g14_378,0.8012782894484235,0.8014775497388257,0.761230743300611,0.7892286231459498,0.7924931194964333,0.7931566950052461,0.7078913403999103,0.7622714070497552
mc2_h14_378,0.7778734394057992,0.7785453088806712,0.74319187311063,0.6860117840958319,0.7761335059553182,0.7777058424585647,0.697668032110023,0.6522771689453573
mc2_l14_224,0.7441072888129359,0.7441053764688913,0.7204085292168099,0.7055552980790698,0.7689234214242158,0.7675457408740984,0.7128448873895777,0.7029947242829994
mc2_m16_224,0.6559977673336053,0.6563569378159374,0.6467346646899613,0.6369823480106125,0.7051485673103259,0.7046888854034794,0.6928376254716355,0.6646217548969489
mc2_m16_224_mt5,0.6495379189006617,0.649869688031932,0.6330790622201516,0.6223771358467667,0.7073261372713004,0.7059567780177265,0.676613481541724,0.6549229433786791
mc2_m16_384,0.6580806830350522,0.6584219897414179,0.650734869320093,0.6365523844037942,0.7167380325425063,0.7161745667850913,0.6869867329481179,0.6553991564714678
mc2_s16_224,0.6340769129965391,0.633971330436821,0.6211798979671607,0.6026388800218014,0.6753073880642869,0.6768883979863112,0.6511607697445762,0.6017712030123146
mc2_s16_224_mt5,0.6443517903237945,0.6425212198793714,0.6344288290341795,0.6203787431832609,0.6895882446493402,0.6927742537460441,0.6582487495610326,0.633729571777881
mc2_s16_384,0.6503474114220247,0.6504000355147611,0.6333544218158617,0.6083020918829638,0.6868269702668365,0.6868146437015112,0.653242699501059,0.609155414601467
pe_core_b16_224,0.7262013696085746,0.7234870910880995,0.7039865882410187,0.6812405160194751,0.761728380188839,0.7624612185363195,0.7067260606723628,0.6999022310333971
pe_core_g14_448,0.8247924369551128,0.8243434839554618,0.80527980495257,0.7882240615577428,0.8156905710853307,0.8182008292030468,0.7648865537882158,0.7513796454838456
pe_core_l14_336,0.8068955339706688,0.8066163544648908,0.7912570587918442,0.763577223813984,0.8043261402837629,0.804036238117426,0.7728702582289004,0.7547877054185639
pe_core_s16_384,0.644544154113136,0.6441002216127286,0.6365434696565186,0.5909957833707427,0.6832529277220603,0.6856537004886378,0.650187327881951,0.5701856051991516
pe_core_t16_384,0.5496305522064591,0.5495173909880324,0.542826851530342,0.48166390515846,0.5725245105997605,0.5724254421709944,0.5230362202054266,0.44718325681559457
pe_lang_g14_448,0.8431374381568302,0.8422415554172604,0.8197307377798325,0.7316818403736242,0.819440038755702,0.8157935687254659,0.7682326645391344,0.6934107403493592
pe_lang_g14_448_tiling,0.8234289253274323,0.8195948689249883,0.7900276038775076,0.7235750749075833,0.8184398442044575,0.8215210066428525,0.7576886811508207,0.6898617588675241
pe_lang_l14_448,0.8014212390398934,0.8020271626894787,0.7815525888396267,0.6167298979984296,0.8043220818612467,0.8059652169195001,0.7576657929157549,0.5895153244159039
pixio_vit1b16,0.6954838581684016,0.694581592633132,0.6520944255192607,0.5561259938669176,0.7568849007899872,0.7547475542149769,0.6605868200456192,0.5423073940334163
pixio_vitb16,0.6659259494702601,0.6659467246546629,0.6452982650370283,0.5938988821276081,0.7165966005406651,0.7155717399333807,0.6738227131395373,0.5894606403555503
pixio_vith16,0.6861076566614607,0.6868214372409872,0.6559239903734102,0.5413220488347997,0.7457612632196847,0.7432575394365791,0.6762327014773657,0.5220796607538389
pixio_vitl16,0.6945526755429192,0.6941617126175177,0.6631421321501565,0.5143125929673739,0.7510495454316584,0.7486311120498446,0.6757960212399173,0.4913730081753935
raev2,0.7648575395064416,0.7683900232381233,0.7489664606673326,0.7592891027109456,0.8088258375660967,0.8099532095348725,0.7622262034815471,0.7831974174303161
siglip2_b16_224,0.754596364852939,0.7538165128031313,0.736476912698867,0.7435648988211861,0.7841638073411142,0.7849983451423745,0.7421086039504872,0.7486968432978229
siglip2_b16_256,0.7617619328645906,0.7613936659083886,0.7427358437428696,0.7489029063563866,0.7825157010589968,0.7832445244939544,0.7494013902161484,0.7511528105877785
siglip2_b16_384,0.7722042576418754,0.7726138183946831,0.7492257459062508,0.7535460156711369,0.7908743669720106,0.7891712832839218,0.7543030027946444,0.7504065304208075
siglip2_b16_512,0.7755847987979962,0.7750680289356476,0.7509496463031328,0.7529423329908281,0.7917649746782759,0.7923634898499837,0.7406646432467022,0.7488270438948559
siglip2_b32_256,0.7223198841274431,0.7233765363847393,0.7051377955102837,0.7142330258931312,0.7524203102964689,0.7569896303370194,0.7234257958057561,0.7400103995459016
siglip2_g16_256,0.8166290851548582,0.8158017808076555,0.7846798408408002,0.784578500224399,0.8071164876812871,0.8061596173434691,0.7473131388962299,0.7630739728529842
siglip2_g16_384,0.821503596405412,0.8195850399882076,0.7915773768820872,0.7809786107445087,0.804114560411658,0.8026117110686706,0.7515256892153589,0.7561120919382434
siglip2_l16_256,0.8019965538644558,0.800421734008823,0.7850267275677881,0.7875061369366155,0.8072167451476625,0.8074954920868902,0.7784578114329666,0.7896999012425276
siglip2_l16_384,0.8072166935720798,0.8106530519329886,0.7929440876921208,0.7921252107426335,0.8038029887948615,0.8018341285436915,0.7780004627786116,0.7847453231025785
siglip2_l16_512,0.8087293922704399,0.8112920890911273,0.7931071079504822,0.7912392025790718,0.8082160232255756,0.8050915254727596,0.7796625264200593,0.7835287331270847
siglip2_sm14_224,0.8053518796140151,0.8048891303475525,0.7857378093896374,0.7845083705138974,0.8028106458770017,0.8019954922167504,0.7593780676072626,0.7634048320938431
siglip2_sm14_384,0.8117311915063795,0.8115149476293058,0.7931767171163239,0.782732578087314,0.800355015908049,0.8008205120757953,0.7620347737836218,0.7628320566349671
siglip2_sm16_256,0.8056882741436232,0.8054197188262789,0.7854629184912758,0.7865036449214862,0.797190569832497,0.8019662551191354,0.7594571079719217,0.7658748825992082
siglip2_sm16_384,0.8102044141082254,0.8099529828981314,0.7921939762474699,0.7832054528956356,0.8114781980857106,0.8100783419187605,0.7632102296132721,0.7663023433997258
siglip2_sm16_512,0.8104739507372271,0.8082336651940718,0.7941813374411907,0.7825150347967967,0.8092877187505622,0.8091629865990876,0.7687405753019446,0.7596432462475327
toklip_l_384,0.765738071131999,0.7643652878103672,0.7456988752856576,0.7156134331317058,0.7621697349583277,0.7640848750251549,0.736851505917331,0.6937047555413075
