scope,baseline_order,baseline_id,baseline_name,baseline_kind,mllm_scale,gold_metric,rho,pvalue_two_sided_asymptotic,n_tokenizers
core16,16,voc2007_multilabel,VOC2007 multi-label,multi-label,150k,MSCOCO,-0.100000000,0.872888572,5
core16,16,voc2007_multilabel,VOC2007 multi-label,multi-label,150k,FLICKR30K,-0.100000000,0.872888572,5
core16,16,voc2007_multilabel,VOC2007 multi-label,multi-label,150k,OverallMean,0.100000000,0.872888572,5
core16,16,voc2007_multilabel,VOC2007 multi-label,multi-label,mix665k,MMMU_TEST,0.300000000,0.623837665,5
core16,16,voc2007_multilabel,VOC2007 multi-label,multi-label,mix665k,MMBench,0.500000000,0.391002219,5
core16,16,voc2007_multilabel,VOC2007 multi-label,multi-label,mix665k,VQAv2_VAL,0.200000000,0.747060078,5
core16,16,voc2007_multilabel,VOC2007 multi-label,multi-label,mix665k,VizWiz,0.200000000,0.747060078,5
core16,16,voc2007_multilabel,VOC2007 multi-label,multi-label,mix665k,MSCOCO,0.000000000,1.000000000,5
core16,16,voc2007_multilabel,VOC2007 multi-label,multi-label,mix665k,FLICKR30K,0.500000000,0.391002219,5
core16,16,voc2007_multilabel,VOC2007 multi-label,multi-label,mix665k,OverallMean,0.200000000,0.747060078,5
