predicted_position,tokenizer,registry_name,family,calibration_model,mean_domain_rank,caption_loss,reasoning_loss,caption_rank,reasoning_rank,caption_real_minus_shuffled,reasoning_real_minus_shuffled,caption_real_minus_zero,reasoning_real_minus_zero,qwen2_5,mllm_position,position_error
32,unitok_attn,unitok_attn,unitok,False,38.0,2.382668621838093,1.3796794768422842,35.0,41.0,-0.7227128595113754,-0.014510784298181534,-1.3843570426106453,-0.2450977833941579,42.5,48,-16
33,eupe_vit_b,eupe_vit_b,eupe,False,38.5,2.434234745800495,1.2113361060619354,52.0,25.0,-0.6732140630483627,-0.003480415791273117,-1.332790918648243,-0.41344115417450666,41.52,52,-19
34,mc1_b16_224_400m,mc1_b16_224_400m,mc1,False,38.5,2.529157228767872,0.9773002318106592,66.0,11.0,-0.3805745765566826,0.023991116322577,-1.171003956347704,-0.6838236735202372,44.78,37,-3
35,mc2_h14_378,mc2_h14_378,mc2,False,38.5,2.538128415122628,0.9403829649090767,69.0,8.0,-0.38700314052402973,-0.026819610968232155,-1.1145684104412794,-0.41399104055017233,50.89,16,19
36,pe_core_g14_448,pe_core_g14_448,pe_core,True,38.5,2.422814281657338,1.27408866584301,45.0,32.0,-0.6105275694280863,0.019091332331299782,-1.233619885519147,0.0018831826746463776,51.88,13,23
37,pixio_vith16,pixio_vith16,pixio,False,39.0,2.5226297713816166,0.9828967223875225,65.0,13.0,-0.4669865220785141,0.016707055270671844,-1.2443958930671215,-0.6418805378489196,36.07,70,-33
38,webssl_mae2b_full2b_224,webssl_mae2b_full2b_224,webssl_mae,False,39.0,2.667720327153802,0.6063455648254603,76.0,2.0,-0.1077817790210247,-0.014709364622831345,-1.0993053372949362,-1.0184316954109818,33.83,72,-34
39,mc1_b16_224_2.5b,mc1_b16_224_2.5b,mc1,True,40.0,2.4779922422021627,1.1851469799876213,57.0,23.0,-0.4601621422916651,0.007288207765668631,-1.222168942913413,-0.47597692534327507,44.74,38,1
40,mc1_l14_224_2.5b,mc1_l14_224_2.5b,mc1,False,40.0,2.5356885250657797,0.9786056368611753,68.0,12.0,-0.34880887530744076,0.022766568697988987,-1.2313371393829584,-0.6461716233752668,48.78,25,15
41,siglip2_b32_256,siglip2_b32_256,siglip2,False,40.0,2.3231431785970926,1.546926966868341,22.0,58.0,-0.8797512669116259,0.02234176266938448,-1.3145840670913458,-0.28920337930321693,45.23,35,6
