name,family,MLLM_Avg,qwen3,qwen2_5,smollm2,probe_epoch1,retrieval-ImageNet,CKA,pretrain_loss,A_score,d,n_tokens,eff_rank,RankMe,VSA,m50,m90,LAR_64,sup,res,d_s,n_tokens_s,top1_share,part_ratio,eff_rank_e,r2_raw,r2_std,r2_krr,r2_lin_p,gap_scale,gap_nonlin,mknn,cka_txt,mAP_dom,mAP_obj80,mAP_small,mAP_count2,mAP_crowd,mAP_w_obj,mAP_w_color,mAP_w_rel,mAP_w_num,mAP_w_act,mean_domain_rank,caption_loss,mAP_ocr_word,mAP_ocr_num,mAP_ocr_dense,mAP_oi_class
pe_core_g14_448,pe_core,51.88,,51.88,42.41,88.22,,,,-2.33,1536,1024,4.614341988816214,108.82211745768412,0.9018045491417996,2.0,5.0,0.9994915831343733,lang,1.4496728657251268,1536,1024,0.295310358049157,4.628039810338825,5.760727483693165,0.2999964708142575,0.3038101815006057,0.3007748462346743,0.2926562478614384,0.0038137106863481,0.0081185983732359,0.0102425292334343,0.0499926133066548,0.8156905710853307,0.8247924369551128,0.4913649078948878,0.5297749931384811,0.4554958360754094,0.4653820358283753,0.2956689428796127,0.1633921478005186,0.2318643197630772,0.4536061714533147,38.5,2.422814281657338,0.1553830759181832,0.0819316232480531,0.858288693163167,0.5135545814743936
pe_core_l14_336,pe_core,51.93,,51.93,,86.35,,,,-2.37,1024,576,8.25086930224773,235.02233572366453,0.9042548275184468,4.0,10.0,0.9969595064205468,lang,2.5467516905815373,1024,576,0.2255141331489148,8.347205458798834,16.500873060118632,0.2990682915342909,0.3032371912258306,0.292845619523827,0.2868736528433774,0.0041688996915396,0.0059719666804496,0.0327197921177999,0.070507200332841,0.8043261402837628,0.8051649880676851,0.4763673656415188,0.5008684033540953,0.4502111683822799,0.4559435760001474,0.2549704876879707,0.1489407155962492,0.2120419293969423,0.4149680652772374,26.0,2.203088765963912,0.1552903858758876,0.0968444555840713,0.8610029616515389,0.5284410464461395
pe_core_s16_384,pe_core,43.54,,43.54,,76.71,,,,-2.5,384,576,7.020043547461194,113.1145195477762,0.9118515337527374,2.0,8.0,0.9994966496667542,lang,-0.4454729770036181,384,576,0.2498553162540664,7.02004354746119,10.22644045856549,0.2497145563453803,0.2510538250512909,0.2475411203459843,0.2354616676165251,0.0013392687059106,0.0120794527294592,0.0251407535729753,0.0988816441954782,0.6855310347783677,0.6444800438995301,0.3827177443286506,0.4074948149423394,0.3947634080072501,0.385132788353218,0.2245138716826495,0.1371167550442871,0.1700118481279761,0.3298189961917767,41.5,2.384244479238987,0.1177160061641921,0.1044167449569628,0.8591281498120242,0.5233588837348019
pe_core_t16_384,pe_core,36.86,,36.86,,60.9,,,,-2.75,192,576,6.736659850553767,78.64147891975131,0.9296149323886018,2.0,6.0,0.9995036510344464,lang,1.7271025422369206,192,576,0.2386484222287215,6.736659850553767,10.730855579245109,0.212873062654303,0.2136472066516044,0.2178675144502702,0.2034235686894674,0.0007741439973013,0.0144439457608027,0.0265915980944131,0.1167778010865897,0.5725245105997605,0.5479039998739884,0.3434032194268056,0.3496971133282753,0.3083225894056749,0.3418764999444829,0.2187327719634924,0.1326233478475491,0.1470968612885176,0.2855452494380923,41.0,2.433488719165325,0.1047020323218412,0.0888943286976187,0.8401943004418879,0.4725502062946894
pe_lang_g14_448,pe_lang,58.03,,58.03,,74.61,,,,-2.15,1536,1024,49.30866794894289,398.17235033687285,0.9033544455476682,3.0,14.0,0.9919350832502318,lang,15.220390943958122,1536,1024,0.0796314839411238,56.773508687684,202.394727966094,0.3133826874171596,0.3096924820731507,0.3088565150233094,0.3024758339435489,-0.0036902053440088,0.0063806810797605,0.0739714161974881,0.3046099240199747,0.8194400387557021,0.8431374381568302,0.5451752966797446,0.5772003171625252,0.5120305071908898,0.4715165362487109,0.2571526990988576,0.1630887521765727,0.2235003883708958,0.4799522566544184,30.5,2.300143536180258,0.1660997739289973,0.1316285303847847,0.8796289126957891,0.5567055686639458
pe_lang_g14_448_tiling,pe_lang,56.03,,56.03,,76.68,,,,-2.15,1536,1024,27.61751097355862,404.9449717857309,0.8924459652203913,3.0,15.0,0.9895306753423624,lang,12.061325079010118,1536,1024,0.1510291770974086,32.36842961438517,186.22261254403568,0.3058155778350391,0.3018329409709462,0.3030196318957332,0.2953218924092953,-0.0039826368640928,0.0076977394864379,0.0651797314854915,0.1906055908719702,0.8248094099021829,0.8234289253274323,0.5189619983054828,0.5525270771150331,0.4845058012692819,0.4641664924523906,0.2413235965761551,0.1682177386953891,0.2235600528459808,0.4672457926863476,8.5,2.2640519440174103,0.1498533825455887,0.1215058375811689,0.8980357835021564,0.5542644613077372
pe_lang_l14_448,pe_lang,45.62,,45.62,42.48,75.11,,,,,1024,1024,57.251961238488136,398.78052660603487,0.8857880588536625,3.0,12.0,0.9929315503437374,lang,2.530423343729133,1024,1024,0.0654430011916012,62.39422383137124,187.9691908629204,0.3039752025928388,0.3046871002044945,0.299737863361594,0.2937552848815804,0.0007118976116556,0.0059825784800136,0.0706799480294499,0.3312995886970411,0.8050719667190875,0.7984688844959827,0.4874242542579753,0.5283171970122363,0.4858170842843989,0.4508865305951576,0.2761404989933829,0.1676901374397793,0.2028467319082675,0.4362929212250259,47.5,2.516474625095725,0.1454093080510649,0.117703056655173,0.8874621141899734,0.5567324858983099
pixio_vit1b16,pixio,46.05,,46.05,,74.21,,,,-2.36,1536,256,9.173638430371732,342.6399778513667,0.9127061649598192,2.0,6.0,0.996333818893606,ssl,3.4643650241413155,1536,256,0.2804374727979866,9.638034238456338,47.57719809066316,0.2714570150426493,0.2697665987443916,0.2635522409050528,0.2557841043864497,-0.0016904162982577,0.007768136518603,0.0471199653529666,0.183776097615458,0.7522003756368446,0.6954838581684016,0.4261143128479316,0.4420002534085969,0.3806852904640619,0.4184157610241414,0.1771950085582931,0.1538481326325438,0.1749296876133856,0.4076620680015909,78.5,4.124433990567923,0.1100138171332369,0.0727328640156422,0.837454473056264,0.4983901725903221
pixio_vitb16,pixio,41.0,,41.0,33.11,69.25,,,,-2.68,768,256,7.775095404152066,259.1014600863973,0.901589512928053,1.0,5.0,0.998596840961646,ssl,1.1916436184128545,768,256,0.2846365520289691,7.804628778822982,23.997388138106835,0.2733762409467295,0.2732971156940664,0.2654929087340746,0.2586386437583127,-7.912525266307036e-05,0.0068542649757619,0.04623213512343,0.2050850558809543,0.7145038455913851,0.665281904032825,0.4074873214608163,0.4098789788469632,0.352453895993113,0.4131315839741374,0.1799678788525981,0.1556424271526842,0.1751587424237086,0.3888594556280519,78.5,4.255381535738707,0.1009193134864306,0.0677155348725886,0.8418219880297041,0.5005728788492942
pixio_vith16,pixio,36.07,,36.07,36.96,71.96,,,,-2.98,1280,256,10.894674561226568,342.274757887782,0.8994646128548028,2.0,7.0,0.9959096857175777,ssl,-5.255780774828246,1280,256,0.2577349962439102,11.2888710572781,53.44272099076749,0.2696796818959267,0.270578632339189,0.2626588994383926,0.253347803738867,0.0008989504432622,0.0093110956995255,0.0472932005197055,0.1811889802605329,0.7453263450030897,0.6834892404794629,0.4217176037795195,0.4270338700485954,0.358955306577266,0.4161817732428532,0.1767509492685366,0.1500200081797678,0.1734206133159394,0.3933044049063404,39.0,2.5226297713816166,0.1036937954853098,0.0727920044459677,0.8344631509578502,0.4876324269425233
pixio_vitl16,pixio,45.95,,45.95,34.57,73.81,,,,-2.45,1024,256,5.044664588480621,210.16607095140265,0.9191747780942976,1.0,3.0,0.9993257395766876,ssl,3.588339104324504,1024,256,0.335119738092436,5.068055934048895,11.764854698745388,0.2712425443161295,0.2723667516581736,0.2623599812499365,0.2536067866332931,0.0011242073420441,0.0087531946166433,0.0398224339540926,0.1841910990736567,0.7528855621009622,0.6948258601583346,0.4315584360725557,0.4345448775057648,0.3759411766521766,0.4203949420642408,0.1867613462795827,0.1538702260378532,0.1753635259581925,0.4073214810682548,56.0,2.4303974471986294,0.1099627052925487,0.0754049814542739,0.8353170314100004,0.5020972554171619
raev2,raev2,36.26,33.52,36.26,33.09,83.23,76.8,34.09,2.9181,-2.73,1024,256,87.95210057648978,415.9997922357477,0.8811833585824598,3.0,14.0,0.987651604889792,ssl,-11.3762504839896,1024,256,0.0461034196030343,94.4749015382917,234.0756527755883,0.2754575431402873,0.273574138016789,0.2738995383027139,0.261762346563606,-0.0018834051234983,0.0121371917391079,0.0619315721091381,0.3172230292024627,0.8088258375660967,0.7658145320968286,0.4475232757862239,0.4743461001173095,0.4163145638070153,0.431223108625379,0.2002435339696359,0.1427353608464757,0.1702021825085468,0.3754352874943258,34.0,2.432247737422585,0.1275681343129756,0.0994184304953015,0.8587263289143781,0.5236042607045658
siglip2_b16_224,siglip2,47.83,46.6,47.83,,81.12,78.5,47.89,2.458,-2.15,768,196,52.24367549250783,390.5823166458392,0.8581205413887927,3.0,12.0,0.9948736086829836,lang,1.3752127889767252,768,196,0.0753769538473103,54.51857918693642,155.8851084804513,0.2981208528556565,0.2984539598177693,0.2929555667517671,0.2865713283873695,0.0003331069621128,0.0063842383643976,0.0686444348202685,0.3351743689661434,0.7844965959269286,0.752778063135724,0.454951214322843,0.4713530888659665,0.4342106452102497,0.4382678216094223,0.2595815176822664,0.1563711374322655,0.1992842408705367,0.3999378490893007,37.5,2.239805355668068,0.166378771356202,0.0997732748127458,0.8784878769333755,0.5444585205505417
siglip2_b16_256,siglip2,47.62,46.91,47.62,39.2,81.61,79.3,46.77,2.4604,-2.12,768,256,51.84484736258841,389.94337172920046,0.8746641114173695,3.0,12.0,0.9947653581745742,lang,0.8908445407523189,768,256,0.0756156786985058,54.07247274752828,154.6799464285669,0.298139758264099,0.2985124160984878,0.2935731209684714,0.2866692647041571,0.0003726578343887,0.0069038562643143,0.0682763100909484,0.3347292893822632,0.7816420983161219,0.7599326498361128,0.4573200400482742,0.483901970690935,0.4455241938724924,0.4415594567477249,0.2639696412997186,0.1555700994289371,0.2013843898842764,0.4001550026396565,23.5,2.4158793333917856,0.1666335924920583,0.1104266564778113,0.8795786269530712,0.544751044346179
siglip2_b16_384,siglip2,50.5,42.53,50.5,,82.66,80.6,47.04,2.4706,-2.21,768,576,50.20264398706089,387.4636415271932,0.8925697663388862,3.0,12.0,0.9946169514120048,lang,3.1829125802714486,768,576,0.0776286537604046,52.26048393868568,150.14616251742592,0.2975280246337864,0.2983267985616321,0.2926700420909442,0.2856888895930041,0.0007987739278456,0.0069811524979401,0.067215244694673,0.330578680917932,0.7914769384155278,0.7700431704029017,0.4606937338755323,0.4883520840750113,0.4465040101396164,0.4419917100582081,0.2522485054986908,0.1526175185715361,0.1973934824295197,0.4099108959844962,19.0,2.222144648432732,0.1656578123253579,0.1050774222021379,0.8704541843914381,0.5427983931640562
siglip2_b16_512,siglip2,50.16,48.51,50.16,40.72,83.13,81.3,46.89,2.5136,-2.23,768,1024,48.74130596469434,386.0494815956038,0.8920620532883433,3.0,12.0,0.9944423501059454,lang,2.5797430360562004,768,1024,0.0802151726738554,50.687586431148446,147.15862718768523,0.2977703461101588,0.2988241762945596,0.2935040503263,0.2865515973611119,0.0010538301844007,0.006952452965188,0.0666522304027717,0.3261481827367485,0.7912488306967502,0.7742576532203029,0.4634139134402747,0.4910512066635668,0.4565238280905815,0.4429293948001392,0.2536317230560792,0.1525242015949514,0.1974632278730166,0.4072523669017668,7.0,2.2002976574003696,0.1578597769565095,0.1070134917343536,0.8601472777639125,0.5470976024660518
siglip2_b32_256,siglip2,45.23,42.5,45.23,,76.9,73.9,43.43,2.5376,-2.26,768,64,54.81739759913904,394.8466125053387,0.8523063060661762,3.0,12.0,0.9952317132861208,lang,1.1381393349093614,768,64,0.0727903750063366,57.41481199767831,163.78811882887155,0.2936207451661073,0.2927997942618184,0.2888170339447239,0.2828269110884494,-0.0008209509042889,0.0059901228562745,0.0682979644867908,0.3365877412993005,0.7557627307713093,0.722319884127443,0.4220033784906808,0.4446990339082206,0.3792886355071443,0.4262004004032507,0.2685256158565603,0.1476385939867669,0.2045763028561252,0.3924412758322805,40.0,2.3231431785970926,0.1328726948294942,0.1226686416694521,0.8555862646945351,0.5391841587474558
siglip2_g16_256,siglip2,53.87,51.02,53.87,43.75,86.96,84.4,53.24,2.3646,-2.12,1536,256,66.46225266355107,409.0927599361608,0.892799333638338,4.0,18.0,0.9893311282541212,lang,4.145191218302173,1536,256,0.0527430195491149,77.7104985558824,243.0445883687246,0.3048954392283216,0.3016566593319471,0.3001565338587364,0.2941079338706616,-0.0032387798963745,0.0060485999880748,0.0702468601126028,0.2922529033083504,0.8071164876812873,0.8166290851548582,0.4954434169599289,0.5246361165943645,0.4562705460911985,0.4575886205177204,0.2492172610145406,0.1465812901299319,0.2153179533306287,0.4429974933898672,19.5,2.1963147781789303,0.1798584692823576,0.0987025233099804,0.8852228191122103,0.5412000831580115
