name,mAP_obj80,mAP_dom,mAP_small,mAP_word,mAP_word_head,mAP_word_tail
pixio_vith16,0.6861076566614607,0.7457612632196845,0.3225466288510802,0.3678346909461567,0.42393578294493367,0.30357596315986896
pixio_vitl16,0.6945526755429191,0.7510495454316584,0.32789527620253556,0.37269948211735826,0.4288983240112887,0.3087856363290148
raev2,0.7648575395064418,0.8088258375660967,0.3262297884937788,0.3830266185565396,0.42941437986400516,0.3306452721467909
siglip2_b16_224,0.754596364852939,0.7841638073411142,0.3357201114204962,0.3942131478930771,0.44835051049729235,0.33673255146109493
siglip2_b16_256,0.7617619328645906,0.7825157010589968,0.3426076901936952,0.39687843215272217,0.45266917324858996,0.3415093575004918
siglip2_b16_384,0.7722042576418752,0.7908743669720106,0.34454198767661337,0.39618313307328856,0.4532600029782307,0.340233118762239
siglip2_b16_512,0.7755847987979961,0.791764974678276,0.33897004740968206,0.3966905618212508,0.4545746010629626,0.33907020042916935
siglip2_b32_256,0.722319884127443,0.7524203102964689,0.3244868559037437,0.3834159032542931,0.4413323332134083,0.3269490890701551
siglip2_g16_256,0.8166290851548582,0.807116487681287,0.35988976019055563,0.4139247442561276,0.46680359040096664,0.3555061550514497
siglip2_g16_384,0.821503596405412,0.804114560411658,0.3655919706353445,0.41345141089800563,0.4646880367340199,0.3559168612956304
siglip2_l16_256,0.8019965538644558,0.8072167451476625,0.35386602675115364,0.4081511326163835,0.4618832576466923,0.35225386627373906
siglip2_l16_384,0.8072166935720797,0.8038029887948615,0.34881181011071727,0.4083931173455979,0.4610730787425005,0.35168039862034006
siglip2_l16_512,0.8087293922704399,0.8082160232255756,0.3517484859415171,0.40978968522944864,0.464317053469612,0.3529941268241129
siglip2_sm14_224,0.8053518796140151,0.8028106458770018,0.34963542334657094,0.409668155705651,0.46334791444131457,0.3518524330193845
siglip2_sm14_384,0.8117311915063795,0.8003550159080491,0.35302495183991534,0.4106119370035558,0.46426789265639484,0.34996142969264105
siglip2_sm16_256,0.8056882741436232,0.7971905698324969,0.35229397581097266,0.40999475565091537,0.4635894287969988,0.35170009070260055
siglip2_sm16_384,0.8102044141082254,0.8114781980857106,0.35322929391059965,0.41071373322310656,0.4628536432405601,0.35132020556384475
siglip2_sm16_512,0.8104739507372271,0.8092877187505622,0.3543660327905387,0.40988636437973974,0.46369123444429433,0.3497533313448312
toklip_l_384,0.7657380711319991,0.7621697349583277,0.3255532469426506,0.39373255751899017,0.4496630764483516,0.3349518823341379
toklip_s_256,0.7281868261342266,0.742529947392112,0.3154967423258741,0.38332626735129743,0.4405010808799069,0.32354516264548
uniar_bsq,0.7281397472256792,0.6617371838443525,0.285466488158452,0.32490299272015233,0.35514533960221256,0.27578034264321527
unitok_attn,0.7376956026597815,0.7340211314537868,0.3305737719021627,0.38138198985714833,0.43666794042029805,0.3257562546179388
vilau_256,0.1271577477373516,0.08697687689560543,0.07318809568243662,0.08820353961785964,0.1451221007977366,0.05957381992558702
webssl_dino1b_full2b_224,0.777163290287961,0.8143099178062735,0.34241648653024326,0.39075093432019586,0.43119683184160107,0.33853424321864545
webssl_dino300m_full2b_224,0.6760883926632293,0.7273662158003507,0.3079320839375986,0.3525381380561049,0.4062609529523482,0.29541824787155263
webssl_mae1b_full2b_224,0.5036260422485692,0.509951261107066,0.23618709566878468,0.2658081409482413,0.3332517720636131,0.20851679269222104
webssl_mae2b_full2b_224,0.5599473485797369,0.5826250619967501,0.26220829993841527,0.2936236189608258,0.361995556484184,0.23271725088054612
webssl_mae300m_full2b_224,0.5005543172076238,0.50410906170391,0.2568869318918251,0.27487148919413196,0.3411641130360603,0.21622038970836063
webssl_mae3b_full2b_224,0.5715577311652186,0.5860401928722531,0.27122468446756476,0.29583679284451025,0.3603820118366931,0.2375719767926522
webssl_mae700m_full2b_224,0.5054258761637075,0.512159250019372,0.24444175688898884,0.268156023104028,0.3391870949322147,0.2062880585198521
