name,family,MLLM_Avg,qwen3,qwen2_5,smollm2,probe_epoch1,retrieval-ImageNet,CKA,pretrain_loss,A_score,d,n_tokens,eff_rank,RankMe,VSA,m50,m90,LAR_64,sup,res,d_s,n_tokens_s,top1_share,part_ratio,eff_rank_e,r2_raw,r2_std,r2_krr,r2_lin_p,gap_scale,gap_nonlin,mknn,cka_txt
pixio_vith16,pixio,36.07,,36.07,36.96,71.96,,,,-2.98,1280,256,10.894674561226568,342.274757887782,0.8994646128548028,2.0,7.0,0.9959096857175777,ssl,-5.255780774828246,1280,256,0.2577349962439102,11.2888710572781,53.44272099076749,0.2696796818959267,0.270578632339189,0.2626588994383926,0.253347803738867,0.0008989504432622,0.0093110956995255,0.0472932005197055,0.1811889802605329
pixio_vitl16,pixio,45.95,,45.95,34.57,73.81,,,,-2.45,1024,256,5.044664588480621,210.16607095140265,0.9191747780942976,1.0,3.0,0.9993257395766876,ssl,3.588339104324504,1024,256,0.335119738092436,5.068055934048895,11.764854698745388,0.2712425443161295,0.2723667516581736,0.2623599812499365,0.2536067866332931,0.0011242073420441,0.0087531946166433,0.0398224339540926,0.1841910990736567
raev2,raev2,36.26,33.52,36.26,33.09,83.23,76.8,34.09,2.9181,-2.73,1024,256,87.95210057648978,415.9997922357477,0.8811833585824598,3.0,14.0,0.987651604889792,ssl,-11.3762504839896,1024,256,0.0461034196030343,94.4749015382917,234.0756527755883,0.2754575431402873,0.273574138016789,0.2738995383027139,0.261762346563606,-0.0018834051234983,0.0121371917391079,0.0619315721091381,0.3172230292024627
siglip2_b16_224,siglip2,47.83,46.6,47.83,,81.12,78.5,47.89,2.458,-2.15,768,196,52.24367549250783,390.5823166458392,0.8581205413887927,3.0,12.0,0.9948736086829836,lang,1.3752127889767252,768,196,0.0753769538473103,54.51857918693642,155.8851084804513,0.2981208528556565,0.2984539598177693,0.2929555667517671,0.2865713283873695,0.0003331069621128,0.0063842383643976,0.0686444348202685,0.3351743689661434
siglip2_b16_256,siglip2,47.62,46.91,47.62,39.2,81.61,79.3,46.77,2.4604,-2.12,768,256,51.84484736258841,389.94337172920046,0.8746641114173695,3.0,12.0,0.9947653581745742,lang,0.8908445407523189,768,256,0.0756156786985058,54.07247274752828,154.6799464285669,0.298139758264099,0.2985124160984878,0.2935731209684714,0.2866692647041571,0.0003726578343887,0.0069038562643143,0.0682763100909484,0.3347292893822632
siglip2_b16_384,siglip2,50.5,42.53,50.5,,82.66,80.6,47.04,2.4706,-2.21,768,576,50.20264398706089,387.4636415271932,0.8925697663388862,3.0,12.0,0.9946169514120048,lang,3.1829125802714486,768,576,0.0776286537604046,52.26048393868568,150.14616251742592,0.2975280246337864,0.2983267985616321,0.2926700420909442,0.2856888895930041,0.0007987739278456,0.0069811524979401,0.067215244694673,0.330578680917932
siglip2_b16_512,siglip2,50.16,48.51,50.16,40.72,83.13,81.3,46.89,2.5136,-2.23,768,1024,48.74130596469434,386.0494815956038,0.8920620532883433,3.0,12.0,0.9944423501059454,lang,2.5797430360562004,768,1024,0.0802151726738554,50.687586431148446,147.15862718768523,0.2977703461101588,0.2988241762945596,0.2935040503263,0.2865515973611119,0.0010538301844007,0.006952452965188,0.0666522304027717,0.3261481827367485
siglip2_b32_256,siglip2,45.23,42.5,45.23,,76.9,73.9,43.43,2.5376,-2.26,768,64,54.81739759913904,394.8466125053387,0.8523063060661762,3.0,12.0,0.9952317132861208,lang,1.1381393349093614,768,64,0.0727903750063366,57.41481199767831,163.78811882887155,0.2936207451661073,0.2927997942618184,0.2888170339447239,0.2828269110884494,-0.0008209509042889,0.0059901228562745,0.0682979644867908,0.3365877412993005
siglip2_g16_256,siglip2,53.87,51.02,53.87,43.75,86.96,84.4,53.24,2.3646,-2.12,1536,256,66.46225266355107,409.0927599361608,0.892799333638338,4.0,18.0,0.9893311282541212,lang,4.145191218302173,1536,256,0.0527430195491149,77.7104985558824,243.0445883687246,0.3048954392283216,0.3016566593319471,0.3001565338587364,0.2941079338706616,-0.0032387798963745,0.0060485999880748,0.0702468601126028,0.2922529033083504
siglip2_g16_384,siglip2,54.25,54.56,54.25,42.97,87.53,85.0,51.15,2.3815,-2.12,1536,576,58.957163823004194,402.6296264383978,0.8971621056474988,4.0,18.0,0.9901675716809984,lang,4.206028154041128,1536,576,0.0551930697401481,68.02775840156941,217.72934728143667,0.3066260918845543,0.3039312263024059,0.302003747613545,0.2947873680658828,-0.0026948655821484,0.0072163795476621,0.0683196188826331,0.2747228883986164
siglip2_l16_256,siglip2,50.76,49.09,50.76,42.35,85.16,82.4,41.64,2.4482,-2.14,1024,256,72.21162497130932,409.8434338629375,0.8916873320523396,3.0,15.0,0.991575940566803,lang,2.043074579126518,1024,256,0.0540606596522237,79.48262500034264,219.9957416973763,0.3072026331123364,0.3068959349565069,0.3022027680018826,0.2962515950594003,-0.0003066981558295,0.0059511729424822,0.0726938068427891,0.3393315558083172
siglip2_l16_384,siglip2,53.01,52.56,53.01,45.86,85.82,83.2,43.69,2.4546,-2.16,1024,576,69.41088781838387,407.2638273152856,0.8986258849078047,3.0,15.0,0.9913472451725924,lang,3.923517346824262,1024,576,0.0571084730415893,76.0667035946322,212.5491817229502,0.306446974352497,0.3070290467375993,0.3003824478560404,0.2944021541084278,0.0005820723851023,0.0059802937476125,0.0712862711130359,0.334064840770328
siglip2_l16_512,siglip2,54.47,39.19,54.47,,85.82,83.5,50.4,2.4438,-2.16,1024,1024,67.5318492812564,404.9612998780764,0.8933365452854217,3.0,15.0,0.9913563606991872,lang,5.383517346824263,1024,1024,0.0589109096842848,73.74361761400708,206.7016491284492,0.3063779411050437,0.3068779990045835,0.3000505895558718,0.2941484566541262,0.0005000578995398,0.0059021329017455,0.0710697271546123,0.3316802944547319
siglip2_sm14_224,siglip2,53.02,49.12,53.02,42.81,85.94,83.2,50.75,2.3835,-2.08,1152,256,71.78072050125321,407.08834746461895,0.8954328551817287,3.0,16.0,0.9903742040147444,lang,3.866325122769304,1152,256,0.053551219565589,79.83173820979182,222.36187439195027,0.3062636021704986,0.3053793349190504,0.2992564177533157,0.2930893044316146,-0.0008842672514481,0.006167113321701,0.0725422260718925,0.3297556387854861
