name,r2_n100,r2_n250,r2_n600,r2_n1500,r2_n2400,sat_250_2400,sat_600_2400
mc2_h14_378,0.10203057617228191,0.1539028341813853,0.20662234636260082,0.24506822479041157,0.2656438624543742,0.5793577640357452,0.7778171287435235
mc2_l14_224,0.110665263058085,0.16309018066021233,0.21251070392051363,0.24707397900599204,0.26390781109563255,0.6179816352654798,0.8052459797921855
mc2_m16_224,0.10834024684237153,0.1532873716513499,0.18946419543399903,0.22333010579981594,0.23861161674190812,0.6424137003235331,0.7940275415799688
mc2_m16_224_mt5,0.11425934661689963,0.15716987957829132,0.19148022790164218,0.22505741922753264,0.24023183591761577,0.6542425111057745,0.797064332336484
mc2_m16_384,0.10376357329336854,0.14872790245829345,0.18578078439795986,0.22027814806300672,0.2355468381802407,0.6314154059859921,0.78872119801413
mc2_s16_224,0.10470355841466783,0.150949405624598,0.19122002001302887,0.22194034760887615,0.2348068604188024,0.642866249117952,0.8143715207978512
mc2_s16_224_mt5,0.10281690207213597,0.14856221782949353,0.18673646516699424,0.2170289053638479,0.23104503111713548,0.6430011375322557,0.8082254107093191
mc2_s16_384,0.10666088452402116,0.15340410258175294,0.19449876425601073,0.2264191549186345,0.24037417454715282,0.6381887857576836,0.8091500038322836
pe_core_b16_224,0.13872336392006124,0.1866925082866391,0.22930607004262962,0.2633881544592902,0.2792054310736183,0.6686564354022676,0.821280836697508
pe_core_g14_448,0.13869150989808432,0.1985260874793178,0.25115491414342744,0.2856454532695196,0.30381018150060557,0.6534543592276616,0.82668366446082
pe_core_l14_336,0.14551059097964203,0.1967157147256355,0.2486749943980208,0.2852488857764969,0.3032371912258308,0.6487189580223185,0.8200675959065465
pe_core_s16_384,0.11794793283267153,0.16990789090681038,0.20836557032399708,0.23717819861921208,0.2510538250512909,0.6767787380737886,0.8299637349935914
pe_core_t16_384,0.09185384109462369,0.1355780548971495,0.17366136495308082,0.20222696829974396,0.21364720665160453,0.6345884742515602,0.8128417294791558
pe_lang_g14_448,0.15634276501984093,0.21426356789232037,0.26319827829308473,0.29389923620517755,0.3096924820731507,0.6918591192720991,0.849869769298811
pe_lang_g14_448_tiling,0.14703187130303783,0.2008239265095715,0.25305756230696735,0.28628869534491685,0.30183294097094615,0.6653479433475832,0.8384027319646539
