name,mAP_dom,mAP_obj80,mAP_small,mAP_count2,mAP_crowd,mAP_w_obj,mAP_w_color,mAP_w_rel,mAP_w_num,mAP_w_act
eupe_vit_t,0.6465936230861475,0.6090999478175789,0.3797737654218674,0.4007523506928265,0.3347030046062009,0.38011830756678466,0.24427270123133163,0.13966180667296665,0.18307865460998385,0.3388598907815762
mc1_b16_224_2.5b,0.7481594403943145,0.6908766752832689,0.4003216732658063,0.44098747267490535,0.42120032353408543,0.4027132073820459,0.2274335081082022,0.13572370102421719,0.18418284538798763,0.3313728112626181
mc1_b16_224_400m,0.7297431961641346,0.6802453124499781,0.3944077874679924,0.42174367043129873,0.3954636252800592,0.39754655283715545,0.22325887664284164,0.1289284543580245,0.1816903295351907,0.3243716402116949
mc1_b32_224_2.5b,0.6847803881768768,0.6398151044818716,0.3707442818291803,0.3892971988814031,0.3506757889667267,0.381278799050509,0.2193748560174431,0.1339404525577021,0.1721406766014016,0.31748553649618744
mc1_b32_224_400m,0.686738271329445,0.64608376978382,0.3792952747148875,0.39981004074576293,0.3610860476844917,0.37763960449170675,0.20564045457684493,0.1294999797074887,0.1500529412214884,0.32715658758444055
mc1_g14_224_2.5b,0.7795908364810844,0.7708755017710566,0.478095280888284,0.49772965231548877,0.4266969040939765,0.4391368263475084,0.24320771107417205,0.12464290444884572,0.18565102495409758,0.40359319073406197
mc1_h14_224_2.5b,0.7789843435707996,0.7736271948561266,0.4837421686396734,0.48770920989544997,0.4389916279023224,0.4408756672242807,0.23186455063650074,0.13588164053238555,0.18571615236899852,0.4070732821997341
mc1_h14_224_v1.2,0.7723011709867981,0.7626398685785006,0.45878862148266525,0.4647839141477629,0.4259679203643242,0.42202279155122613,0.20411164927486272,0.13241894220861783,0.1564257046100382,0.37721023341463417
mc1_l14_224_2.5b,0.769479867973346,0.7461125958860847,0.44566870055346497,0.45985021693227723,0.4054686877603422,0.43329002668074507,0.2540945563322152,0.12759701267859894,0.19018353149060513,0.3907272156992261
mc1_l14_224_400m,0.7682391672678547,0.7438592659056545,0.4410156503816476,0.4476268592484296,0.40447009354813507,0.4237008666230116,0.2519030814980409,0.13743353605178546,0.18777785827833313,0.40154024935502763
mc2_b16_224,0.737251385662875,0.6801061516355675,0.3865339641966335,0.42019232059014217,0.4061369775417194,0.3969495087564795,0.18953375217901364,0.1327995590426512,0.1423794093780297,0.3145724429905351
mc2_b16_384,0.7583295809583196,0.6922387042328472,0.39359824777954455,0.4275805273786519,0.41977786990558613,0.39941495850421405,0.19883193837359656,0.1355390230526947,0.14145880437564012,0.31208292788517067
mc2_b32_224,0.6745340985779246,0.6299421420624979,0.3664399684920833,0.3963671517081467,0.36767952913319224,0.3710343933398265,0.20657074147427867,0.13241050074635113,0.13887853859693408,0.2951007983426414
mc2_b32_224_mt5,0.7023947296864848,0.6361525498348544,0.3741505606859319,0.4066976965119853,0.36487555185933807,0.3796410195952186,0.197296269709795,0.13094588468922783,0.14920251153696806,0.30959956441474556
mc2_b32_384,0.6933596632516474,0.6490693420625863,0.380822511969671,0.40068079492473585,0.36966558754284523,0.37572320456204455,0.20543669167929202,0.13166631729024852,0.13509383250242518,0.29849839043603327
mc2_g14_224,0.8016929770624357,0.7888183148804017,0.49627542419190107,0.5024971083157342,0.43647390525540114,0.4485409303865199,0.2241411708624931,0.13512095044954114,0.20817840743435678,0.4199034453908958
